#time,CK_0001a,CK_0001b,CK_0004a,CK_0004b,CK_0005a,CK_0005b,CK_0006a,CK_0006b,CK_0007a,CK_0007b,CK_0008a,CK_0008b,CK_0009a,CK_0009b,CK_0010a,CK_0010b,CK_0011a,CK_0011b,CK_0012a,CK_0012b,CK_0013a,CK_0013b,CK_0014a,CK_0014b,CK_0015a,CK_0015b,CK_0016a,CK_0016b,CK_0017a,CK_0017b,CK_0018a,CK_0018b,CK_0019a,CK_0019b,CK_0021a,CK_0021b,CK_0022a,CK_0022b,CK_0023a,CK_0023b,CK_0024a,CK_0024b,CK_0025a,CK_0025b,CK_0026a,CK_0026b,CK_0027a,CK_0027b,CK_0028a,CK_0028b,CK_0029a,CK_0029b,CK_0030a,CK_0030b,CK_0031a,CK_0031b,CK_0033a,CK_0033b,CK_0034a,CK_0034b,CK_0035a,CK_0035b,CK_0036a,CK_0036b,CK_0037a,CK_0037b,CK_0038a,CK_0038b,CK_0039a,CK_0039b,CK_0040a,CK_0040b,CK_0041a,CK_0041b,CK_0042a,CK_0042b,CK_0043a,CK_0043b,CK_0044a,CK_0044b,Vout_0001a,Vout_0001b,Vout_0004a,Vout_0004b,Vout_0005a,Vout_0005b,Vout_0006a,Vout_0006b,Vout_0007a,Vout_0007b,Vout_0008a,Vout_0008b,Vout_0009a,Vout_0009b,Vout_0010a,Vout_0010b,Vout_0011a,Vout_0011b,Vout_0012a,Vout_0012b,Vout_0013a,Vout_0013b,Vout_0014a,Vout_0014b,Vout_0015a,Vout_0015b,Vout_0016a,Vout_0016b,Vout_0017a,Vout_0017b,Vout_0018a,Vout_0018b,Vout_0019a,Vout_0019b,Vout_0021a,Vout_0021b,Vout_0022a,Vout_0022b,Vout_0023a,Vout_0023b,Vout_0024a,Vout_0024b,Vout_0025a,Vout_0025b,Vout_0026a,Vout_0026b,Vout_0027a,Vout_0027b,Vout_0028a,Vout_0028b,Vout_0029a,Vout_0029b,Vout_0030a,Vout_0030b,Vout_0031a,Vout_0031b,Vout_0033a,Vout_0033b,Vout_0034a,Vout_0034b,Vout_0035a,Vout_0035b,Vout_0036a,Vout_0036b,Vout_0037a,Vout_0037b,Vout_0038a,Vout_0038b,Vout_0039a,Vout_0039b,Vout_0040a,Vout_0040b,Vout_0041a,Vout_0041b,Vout_0042a,Vout_0042b,Vout_0043a,Vout_0043b,Vout_0044a,Vout_0044b,driver_0003a,driver_0003b,driver_0020a,driver_0020b,Out_0001a,Out_0001b,Out_0018a,Out_0018b
1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-9.092974e-02,-9.089038e-02,-9.097068e-02,-9.095422e-02,9.282058e-02,9.296163e-02,-9.100879e-02,-9.100538e-02,9.319454e-02,9.319432e-02,-9.392089e-02,-9.252547e-02,-9.108196e-02,-9.106253e-02,9.222922e-02,9.258982e-02,9.318645e-02,9.319036e-02,9.313512e-02,9.315684e-02,9.318340e-02,9.317836e-02,-9.102198e-02,-9.101828e-02,9.319277e-02,9.319407e-02,9.319350e-02,9.319208e-02,9.184993e-02,9.178229e-02,9.310358e-02,9.306014e-02,-9.099041e-02,-9.098214e-02,9.319001e-02,9.318718e-02,-9.186450e-02,-9.152244e-02,-9.104895e-02,-9.103918e-02,-1.067849e-01,-9.724866e-02,-4.207254e-01,-1.442504e-01,-6.416767e-03,9.351192e-02,-9.103194e-02,-9.102640e-02,-9.100144e-02,-9.099661e-02,-9.101502e-02,-9.101192e-02,9.317104e-02,9.318035e-02,9.317159e-02,9.316234e-02,9.304792e-02,9.310149e-02,9.314943e-02,9.313093e-02,-9.133285e-02,-9.122181e-02,-9.115378e-02,-9.111053e-02,-9.082604e-02,-9.071442e-02,9.298996e-02,9.286969e-02,-9.050656e-02,-9.008407e-02,9.264834e-02,9.220341e-02,-8.912741e-02,-8.666869e-02,9.120649e-02,8.866686e-02,-7.955568e-02,-5.941864e-02,8.135665e-02,6.018855e-02,9.240446e-01,-8.228581e-01,9.240446e-01,-8.228581e-01,-9.095124e-02,-9.091211e-02,9.310912e-02,9.306579e-02
2,-2,-2,-2,-2,-1,-1,-2,-2,-2,-2,-1,-1,-2,-2,-1,-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1,-1,-2,-2,-2,-2,-2,-2,-1,-1,-2,-2,-1,-1,-1,-1,-1,-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-8.891290e-02,-6.267127e-02,-9.069504e-02,-9.043437e-02,1.155538e-01,1.296732e-01,-9.092681e-02,-9.091917e-02,9.329535e-02,9.328993e-02,-1.070250e-01,-1.077868e-01,-9.061402e-02,-9.073301e-02,1.192962e-01,1.192804e-01,9.336939e-02,9.333943e-02,9.380499e-02,9.360206e-02,9.333591e-02,9.337578e-02,-9.091739e-02,-9.092576e-02,9.331875e-02,9.330434e-02,9.328833e-02,9.329080e-02,1.162437e-01,1.200851e-01,9.414640e-02,7.693435e-02,-9.085108e-02,-9.079616e-02,9.329771e-02,9.331193e-02,-1.000793e-01,-1.282370e-01,-9.080563e-02,-9.085211e-02,-1.193488e-01,-1.050657e-01,-4.992323e-01,-6.057348e-02,-2.127293e-02,1.587941e-01,-9.088283e-02,-9.090333e-02,-9.090584e-02,-9.088459e-02,-9.093003e-02,-9.093062e-02,9.348380e-02,9.341393e-02,9.344278e-02,9.355898e-02,7.666256e-02,9.367585e-02,9.376731e-02,9.412389e-02,-6.233827e-02,-8.831062e-02,-8.997820e-02,-9.040585e-02,-1.284757e-01,-1.003150e-01,1.298222e-01,1.156442e-01,-1.078602e-01,-1.061020e-01,1.189873e-01,1.186335e-01,-1.059863e-01,-1.058300e-01,1.182017e-01,1.170638e-01,-1.001381e-01,-1.008520e-01,1.119889e-01,1.019722e-01,9.240446e-01,-8.228581e-01,9.240446e-01,-8.228581e-01,-8.895015e-02,-6.270746e-02,9.413807e-02,7.692743e-02
3,-2,-2,-2,-2,0,0,-2,-2,-2,-2,0,0,-2,-2,0,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,0,-2,-2,-2,-2,-2,-2,0,0,-2,-2,0,0,0,0,0,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.993505e-02,8.751804e-02,-8.796360e-02,-8.447348e-02,-3.023795e-01,4.814746e-01,-9.071790e-02,-9.063437e-02,9.334812e-02,9.337496e-02,-6.852186e-01,3.039134e-01,-9.148369e-02,-9.118199e-02,-3.536419e-01,7.806979e-01,9.316077e-02,9.324191e-02,9.019672e-02,9.200888e-02,9.374113e-02,9.395554e-02,-9.087209e-02,-9.084756e-02,9.328928e-02,9.332029e-02,9.340768e-02,9.345144e-02,-3.551196e-01,8.097041e-01,1.008232e-01,1.049447e-01,-8.995001e-02,-8.930564e-02,9.351322e-02,9.360402e-02,-5.972388e-01,8.200399e-02,-9.103964e-02,-9.096541e-02,-6.616689e-01,2.716974e-01,-8.151632e-01,2.485805e-01,-2.362703e-01,7.864945e-01,-9.092378e-02,-9.089594e-02,-9.050520e-02,-9.029886e-02,-9.081742e-02,-9.077704e-02,9.269577e-02,9.300697e-02,9.430552e-02,9.489917e-02,-4.123140e-02,8.177072e-02,9.594629e-02,9.780796e-02,-1.387467e-01,-1.000958e-01,-9.398845e-02,-9.217493e-02,-4.125487e-01,2.859350e-01,-6.098310e-03,5.532654e-01,-6.541723e-01,2.841162e-01,-2.680983e-01,7.896427e-01,-6.936829e-01,2.935242e-01,-3.666112e-01,7.931720e-01,-6.060385e-01,1.133202e-01,-3.182652e-01,4.683903e-01,9.240446e-01,-8.228581e-01,9.240446e-01,-8.228581e-01,-6.997755e-02,8.747651e-02,1.008096e-01,1.049336e-01
4,-2,-2,-2,-2,1,1,-2,-2,-2,-2,1,1,-2,-2,1,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,1,-2,-2,-2,-2,-2,-2,1,1,-2,-2,1,1,1,1,1,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-7.256796e-02,6.905056e-02,-8.785096e-02,-8.464518e-02,-2.973857e-01,4.934855e-01,-9.070820e-02,-9.061818e-02,9.334488e-02,9.337082e-02,-7.232080e-01,3.262489e-01,-9.135951e-02,-9.112056e-02,-3.472394e-01,7.921330e-01,9.317350e-02,9.324742e-02,9.030484e-02,9.208611e-02,9.374867e-02,9.397976e-02,-9.086841e-02,-9.084425e-02,9.329034e-02,9.331857e-02,9.340320e-02,9.344722e-02,-3.501713e-01,8.160206e-01,1.077646e-01,1.575382e-01,-8.988222e-02,-8.920316e-02,9.351072e-02,9.360417e-02,-6.120248e-01,6.453733e-02,-9.100743e-02,-9.094815e-02,-7.098253e-01,3.078234e-01,-8.508907e-01,2.919712e-01,-2.340332e-01,7.854810e-01,-9.091414e-02,-9.089030e-02,-9.047955e-02,-9.025688e-02,-9.081333e-02,-9.077093e-02,9.274144e-02,9.303224e-02,9.436882e-02,9.506460e-02,-4.524508e-02,8.175981e-02,9.641323e-02,9.936623e-02,-1.212031e-01,-9.778040e-02,-9.330304e-02,-9.190302e-02,-4.579827e-01,2.948993e-01,-7.426134e-02,6.785258e-01,-7.043319e-01,3.106400e-01,-3.418265e-01,8.121218e-01,-7.259075e-01,3.263698e-01,-3.516249e-01,7.923964e-01,-6.193206e-01,9.379670e-02,-3.035763e-01,4.687472e-01,9.240446e-01,-8.228581e-01,9.240446e-01,-8.228581e-01,-7.260925e-02,6.901068e-02,1.077521e-01,1.575273e-01
5,-2,-2,-2,-2,2,2,-2,-2,-2,-2,2,2,-2,-2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,2,-2,-2,-2,-2,-2,-2,2,2,-2,-2,2,2,2,2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,-6.658936e-02,1.082921e-01,-8.694410e-02,-8.261014e-02,-3.509859e-01,5.455923e-01,-9.067306e-02,-9.055839e-02,9.331206e-02,9.335073e-02,-7.634035e-01,3.544100e-01,-9.159466e-02,-9.128655e-02,-3.461304e-01,8.277741e-01,9.301008e-02,9.314119e-02,8.815754e-02,9.117297e-02,9.378808e-02,9.404148e-02,-9.088974e-02,-9.085243e-02,9.321898e-02,9.327106e-02,9.339379e-02,9.344790e-02,-3.493321e-01,8.305721e-01,1.078376e-01,1.598922e-01,-8.962190e-02,-8.873959e-02,9.352159e-02,9.362777e-02,-6.510696e-01,8.303504e-02,-9.112240e-02,-9.102839e-02,-7.624779e-01,3.536208e-01,-8.866986e-01,3.451986e-01,-2.309834e-01,7.869082e-01,-9.096911e-02,-9.092634e-02,-9.038325e-02,-9.010185e-02,-9.080860e-02,-9.075179e-02,9.227693e-02,9.276734e-02,9.446265e-02,9.520489e-02,-9.426887e-02,7.474205e-02,9.661151e-02,9.958799e-02,-1.114446e-01,-9.678879e-02,-9.352946e-02,-9.221040e-02,-5.225266e-01,3.614873e-01,-9.456731e-02,7.292126e-01,-7.655198e-01,3.541499e-01,-3.560868e-01,8.327794e-01,-7.652731e-01,3.603075e-01,-3.493449e-01,8.106479e-01,-6.417242e-01,8.664710e-02,-3.072417e-01,4.861385e-01,9.240446e-01,-8.228581e-01,9.240446e-01,-8.228581e-01,-6.662574e-02,1.082564e-01,1.078304e-01,1.598858e-01
6,-2,-2,-2,-2,2,2,-2,-2,-2,-2,2,2,-2,-2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,2,-2,-2,-2,-2,-2,-2,2,2,-2,-2,2,2,2,2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,-6.658942e-02,1.082932e-01,-8.694391e-02,-8.260862e-02,-3.509877e-01,5.455941e-01,-9.067208e-02,-9.055804e-02,9.331164e-02,9.335001e-02,-7.634050e-01,3.544111e-01,-9.159511e-02,-9.128662e-02,-3.461305e-01,8.277765e-01,9.300853e-02,9.313974e-02,8.815511e-02,9.117134e-02,9.378712e-02,9.404067e-02,-9.088998e-02,-9.085278e-02,9.321755e-02,9.326866e-02,9.339291e-02,9.344682e-02,-3.493324e-01,8.305738e-01,1.078377e-01,1.598928e-01,-8.962167e-02,-8.873900e-02,9.352081e-02,9.362682e-02,-6.510731e-01,8.303702e-02,-9.112276e-02,-9.102842e-02,-7.624784e-01,3.536206e-01,-8.866994e-01,3.451986e-01,-2.309839e-01,7.869107e-01,-9.096948e-02,-9.092671e-02,-9.038313e-02,-9.010135e-02,-9.080910e-02,-9.075265e-02,9.227530e-02,9.276584e-02,9.446186e-02,9.520430e-02,-9.427001e-02,7.474174e-02,9.661078e-02,9.958813e-02,-1.114457e-01,-9.678877e-02,-9.353017e-02,-9.221060e-02,-5.225282e-01,3.614887e-01,-9.456817e-02,7.292138e-01,-7.655201e-01,3.541498e-01,-3.560867e-01,8.327795e-01,-7.652722e-01,3.603069e-01,-3.493450e-01,8.106489e-01,-6.417239e-01,8.664761e-02,-3.072435e-01,4.861400e-01,9.240446e-01,-8.228581e-01,9.240446e-01,-8.228581e-01,-6.662564e-02,1.082572e-01,1.078304e-01,1.598861e-01
7,-2,-2,-2,-2,2,2,-2,-2,-2,-2,2,2,-1,-1,2,2,-1,-1,-1,-1,-2,-2,-2,-2,-2,-2,-2,-2,2,2,-2,-2,-2,-2,-2,-2,2,2,-1,-1,2,2,2,2,2,2,-2,-2,-2,-2,-2,-2,-1,-1,-2,-2,-1,-1,-2,-2,-1,-1,-1,-1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,-6.656222e-02,1.083031e-01,-8.690167e-02,-8.257550e-02,-3.801737e-01,6.589149e-01,-9.048527e-02,-9.042003e-02,9.387264e-02,9.370635e-02,-7.639553e-01,3.567334e-01,-1.065086e-01,-1.076567e-01,-3.433205e-01,8.404531e-01,1.155075e-01,1.296649e-01,1.131501e-01,1.202067e-01,9.386321e-02,9.410164e-02,-8.984423e-02,-9.024714e-02,7.666934e-02,9.370895e-02,9.363114e-02,9.361630e-02,-3.489778e-01,8.299492e-01,1.078596e-01,1.599014e-01,-8.955717e-02,-8.868743e-02,9.364651e-02,9.372345e-02,-6.996980e-01,1.790346e-01,-9.997668e-02,-1.281308e-01,-7.624729e-01,3.539575e-01,-8.866274e-01,3.453606e-01,-2.307923e-01,7.869220e-01,-6.225233e-02,-8.819321e-02,-9.027825e-02,-9.002018e-02,-9.042014e-02,-9.048773e-02,1.191159e-01,1.192032e-01,9.451159e-02,9.524517e-02,-1.341155e-01,1.812429e-01,9.664487e-02,9.961564e-02,-2.519264e-01,-7.090960e-02,-1.134615e-01,-1.051693e-01,-5.224999e-01,3.614927e-01,-9.453973e-02,7.292113e-01,-7.655136e-01,3.541647e-01,-3.560736e-01,8.327812e-01,-7.652714e-01,3.603175e-01,-3.493334e-01,8.106527e-01,-6.417265e-01,8.666175e-02,-3.072435e-01,4.861515e-01,9.240446e-01,-8.228581e-01,9.240446e-01,-8.228581e-01,-6.662946e-02,1.082406e-01,1.078274e-01,1.598733e-01
8,-2,-2,-2,-2,2,2,-2,-2,-2,-2,2,2,0,0,2,2,0,0,0,0,-2,-2,-2,-2,-2,-2,-2,-2,2,2,-2,-2,-2,-2,-2,-2,2,2,0,0,2,2,2,2,2,2,-2,-2,-2,-2,-2,-2,0,0,-2,-2,0,0,-2,-2,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,-6.657018e-02,1.083004e-01,-8.692163e-02,-8.258834e-02,-3.442926e-01,8.448791e-01,-9.078293e-02,-9.059989e-02,9.019029e-02,9.204526e-02,-7.640625e-01,3.577262e-01,-6.871121e-01,3.024447e-01,-3.428174e-01,8.298259e-01,-3.024203e-01,4.814017e-01,-3.452567e-01,8.055181e-01,9.376179e-02,9.403735e-02,-9.393461e-02,-9.208936e-02,-4.134422e-02,8.171928e-02,9.277899e-02,9.314703e-02,-3.484052e-01,8.302080e-01,1.078534e-01,1.598990e-01,-8.960368e-02,-8.871788e-02,9.337471e-02,9.355980e-02,-7.472796e-01,3.141751e-01,-5.965642e-01,8.221991e-02,-7.623809e-01,3.543724e-01,-8.865186e-01,3.456875e-01,-2.305268e-01,7.869288e-01,-1.388076e-01,-1.000729e-01,-9.039051e-02,-9.009191e-02,-9.135657e-02,-9.100129e-02,-3.575169e-01,7.825523e-01,9.447051e-02,9.521871e-02,-3.464119e-01,8.023911e-01,9.662792e-02,9.960506e-02,-6.741984e-01,2.792148e-01,-6.670367e-01,2.721788e-01,-5.225046e-01,3.614938e-01,-9.454324e-02,7.292121e-01,-7.655142e-01,3.541654e-01,-3.560729e-01,8.327813e-01,-7.652709e-01,3.603187e-01,-3.493317e-01,8.106541e-01,-6.417273e-01,8.666539e-02,-3.072449e-01,4.861555e-01,9.240446e-01,-8.228581e-01,9.240446e-01,-8.228581e-01,-6.662875e-02,1.082433e-01,1.078278e-01,1.598747e-01
9,-2,-2,-2,-2,2,2,-2,-2,-2,-2,2,2,1,1,2,2,1,1,1,1,-2,-2,-2,-2,-2,-2,-2,-2,2,2,-2,-2,-2,-2,-2,-2,2,2,1,1,2,2,2,2,2,2,-2,-2,-2,-2,-2,-2,1,1,-2,-2,1,1,-2,-2,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,-6.657117e-02,1.083001e-01,-8.692203e-02,-8.258905e-02,-3.447562e-01,8.349946e-01,-9.075093e-02,-9.058292e-02,9.029939e-02,9.212324e-02,-7.638082e-01,3.563439e-01,-7.243549e-01,3.256176e-01,-3.433336e-01,8.294385e-01,-2.974396e-01,4.933568e-01,-3.409672e-01,8.121194e-01,9.376483e-02,9.403793e-02,-9.324910e-02,-9.181737e-02,-4.532407e-02,8.171069e-02,9.282574e-02,9.317345e-02,-3.485374e-01,8.302705e-01,1.078516e-01,1.598983e-01,-8.960179e-02,-8.871741e-02,9.338900e-02,9.356697e-02,-7.547326e-01,3.317565e-01,-6.117620e-01,6.453185e-02,-7.623886e-01,3.542113e-01,-8.865439e-01,3.456103e-01,-2.305919e-01,7.869263e-01,-1.211947e-01,-9.775327e-02,-9.038160e-02,-9.008745e-02,-9.123252e-02,-9.093991e-02,-3.493130e-01,7.927240e-01,9.446988e-02,9.521733e-02,-3.432392e-01,8.110240e-01,9.662614e-02,9.960322e-02,-7.163750e-01,3.115561e-01,-7.140421e-01,3.089455e-01,-5.225065e-01,3.614934e-01,-9.454584e-02,7.292124e-01,-7.655147e-01,3.541639e-01,-3.560745e-01,8.327812e-01,-7.652709e-01,3.603175e-01,-3.493332e-01,8.106541e-01,-6.417275e-01,8.666413e-02,-3.072459e-01,4.861547e-01,9.240446e-01,-8.228581e-01,9.240446e-01,-8.228581e-01,-6.662853e-02,1.082444e-01,1.078281e-01,1.598759e-01
10,-2,-2,-2,-2,2,2,-2,-2,-2,-2,2,2,2,2,2,2,2,2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,2,2,-2,-2,-2,-2,-2,-2,2,2,2,2,2,2,2,2,2,2,-2,-2,-2,-2,-2,-2,2,2,-2,-2,2,2,-2,-2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,-6.658559e-02,1.082931e-01,-8.694537e-02,-8.260798e-02,-3.442207e-01,8.287578e-01,-9.087013e-02,-9.066930e-02,8.816139e-02,9.121502e-02,-7.635286e-01,3.549955e-01,-7.636976e-01,3.543642e-01,-3.438492e-01,8.287313e-01,-3.511070e-01,5.455000e-01,-3.449270e-01,8.289873e-01,9.368777e-02,9.398210e-02,-9.346878e-02,-9.212065e-02,-9.427256e-02,7.471472e-02,9.236322e-02,9.290821e-02,-3.486474e-01,8.303489e-01,1.078361e-01,1.598912e-01,-8.963919e-02,-8.874687e-02,9.322330e-02,9.345674e-02,-7.638073e-01,3.548847e-01,-6.510706e-01,8.298140e-02,-7.623953e-01,3.540983e-01,-8.865624e-01,3.455565e-01,-2.306473e-01,7.869221e-01,-1.114155e-01,-9.675066e-02,-9.044552e-02,-9.013589e-02,-9.146674e-02,-9.110698e-02,-3.466052e-01,8.277784e-01,9.442773e-02,9.518493e-02,-3.444999e-01,8.287583e-01,9.660084e-02,9.958309e-02,-7.638337e-01,3.547065e-01,-7.638978e-01,3.545191e-01,-5.225191e-01,3.614892e-01,-9.456151e-02,7.292120e-01,-7.655173e-01,3.541567e-01,-3.560825e-01,8.327802e-01,-7.652722e-01,3.603128e-01,-3.493392e-01,8.106542e-01,-6.417302e-01,8.666058e-02,-3.072509e-01,4.861532e-01,9.240446e-01,-8.228581e-01,9.240446e-01,-8.228581e-01,-6.662673e-02,1.082516e-01,1.078300e-01,1.598835e-01
